Title,HEY HEY,,,,,,
Artist,MILLI feat. Aphaphorn Nakhonsawan,,,,,,
BPM,105,,,,,,
Offset,7.5,,,,,,
Difficulty,Normal,,,,,,
Level,10,,,,,,
Mapper,visionalee,,,,,,
Illustrator,just demo,,,,,,
Description,just demo,,,,,,
Note Data,,,,OC/OH Multiplier,Time Signature,,HoldNote Value
Beat,Lane,Circle,Note Type,Anor/Rev-Hold Value,Numerator,Denominator,
0,0,0,single,,,,
1,0,0,single,,,,
2,0,0,single,,,,
3,0,0,single,,,,
4,0,0,single,,,,
5,0,0,single,,,,
6,0,0,single,,,,
7,0,0,single,,,,
8,0,0,single,,,,
9,0,0,single,,,,
11,0,0,single,,,,
12,0,0,single,,,,
13,0,0,single,,,,
14,0,0,single,,,,
15,0,0,single,,,,
16,0,0,single,,,,
17,0,0,single,,,,
18,0,0,single,,,,
19,0,0,single,,,,
20,0,0,single,,,,
21,0,0,single,,,,
23,0,0,single,,,,
24,0,0,single,,,,
24.5,0,0,single,,,,
25,0,0,single,,,,
25.25,0,0,single,,,,
25.75,0,0,single,,,,
26.5,0,0,single,,,,
26.75,0,0,single,,,,
27,0,0,single,,,,
27.5,0,0,single,,,,
27.75,0,0,single,,,,
28.5,0,0,single,,,,
29,0,0,single,,,,
29.25,0,0,single,,,,
29.75,0,0,single,,,,
30.5,0,0,single,,,,
30.75,0,0,single,,,,
31,0,0,single,,,,
31.5,0,0,single,,,,
31.75,0,0,single,,,,
32,0,0,single,,,,
33,0,0,single,,,,
35,0,0,single,,,,
36,0,0,single,,,,
37,0,0,single,,,,
38,0,0,single,,,,
39,0,0,single,,,,
40,0,0,single,,,,
41,0,0,single,,,,
42,0,0,single,,,,
43,0,0,single,,,,
44,0,0,single,,,,
45,0,0,single,,,,
46,0,0,single,,,,
47,0,0,single,,,,
48,0,0,anomaly,135,,,
49,0,0,single,,,,
50,0,0,single,,,,
51,0,0,single,,,,
52,0,0,single,,,,
53,0,0,single,,,,
54,0,0,single,,,,
55,0,0,single,,,,
56,0,0,single,,,,
57,0,0,single,,,,
58,0,0,single,,,,
59,0,0,single,,,,
60,0,0,single,,,,
61,0,0,single,,,,
62,0,0,single,,,,
63,0,0,single,,,,
64,0,0,single,,,,
