Title,Come Alive,,,,,
Artist,ZZZ,,,,,
BPM,160,,,,,
Offset,3.0,,,,,
Difficulty,Normal,,,,,
Level,10,,,,,
Mapper,visionalee,,,,,
Illustrator,just demo,,,,,
Description,just demo,,,,,
Note Data,,,,OC/OH Multiplier,Time Signature,
Beat,Lane,Circle,Note Type,BPM/Rev-Hold Value,Numerator,Denominator
0,0,0,overheat,0.5,,
2,0,0,single,,,
4,0,0,single,,,
6,0,0,single,,,
8,0,0,single,,,
10,0,0,single,,,
12,0,0,single,,,
14,0,0,single,,,
16,0,0,single,,,
18,0,0,single,,,
20,0,0,single,,,
22,0,0,single,,,
24,0,0,single,,,
26,0,0,single,,,
28,0,0,single,,,
30,0,0,single,,,
32,0,0,overclock,2,,
33,0,0,single,,,
34,0,0,single,,,
35,0,0,single,,,
36,0,0,single,,,
37,0,0,single,,,
38,0,0,single,,,
39,0,0,single,,,
40,0,0,single,,,
41,0,0,single,,,
42,0,0,single,,,
43,0,0,single,,,
44,0,0,single,,,
45,0,0,single,,,
46,0,0,single,,,
47,0,0,single,,,
48,0,0,single,,,
49,0,0,single,,,
50,0,0,single,,,
51,0,0,single,,,
52,0,0,single,,,
53,0,0,single,,,
54,0,0,single,,,
55,0,0,single,,,
56,0,0,single,,,
57,0,0,single,,,
58,0,0,single,,,
59,0,0,single,,,
60,0,0,single,,,
61,0,0,single,,,
62,0,0,single,,,
63,0,0,single,,,
64,0,0,single,,,
65,0,0,single,,,
66,0,0,single,,,
67,0,0,single,,,
68,0,0,single,,,
69,0,0,single,,,
70,0,0,single,,,
71,0,0,single,,,
72,0,0,single,,,
73,0,0,single,,,
74,0,0,single,,,
75,0,0,single,,,
76,0,0,single,,,
77,0,0,single,,,
78,0,0,single,,,
79,0,0,single,,,
80,0,0,single,,,
81,0,0,single,,,
82,0,0,single,,,
83,0,0,single,,,
84,0,0,single,,,
85,0,0,single,,,
86,0,0,single,,,
87,0,0,single,,,
88,0,0,single,,,
89,0,0,single,,,
90,0,0,single,,,
91,0,0,single,,,
92,0,0,single,,,
93,0,0,single,,,
94,0,0,single,,,
95,0,0,single,,,
96,0,0,single,,,
97,0,0,single,,,
98,0,0,single,,,
99,0,0,single,,,
100,0,0,single,,,
101,0,0,single,,,
102,0,0,single,,,
103,0,0,single,,,
104,0,0,single,,,
105,0,0,single,,,
106,0,0,single,,,
107,0,0,single,,,
108,0,0,single,,,
109,0,0,single,,,
110,0,0,single,,,
111,0,0,single,,,
112,0,0,single,,,
113,0,0,single,,,
114,0,0,single,,,
115,0,0,single,,,
116,0,0,single,,,
117,0,0,single,,,
118,0,0,single,,,
119,0,0,single,,,
120,0,0,single,,,
121,0,0,single,,,
122,0,0,single,,,
123,0,0,single,,,
124,0,0,single,,,
125,0,0,single,,,
126,0,0,single,,,
127,0,0,single,,,
128,0,0,single,,,
129,0,0,single,,,
130,0,0,single,,,
131,0,0,single,,,
132,0,0,single,,,
133,0,0,single,,,
134,0,0,single,,,
135,0,0,single,,,
136,0,0,single,,,
137,0,0,single,,,
138,0,0,single,,,
139,0,0,single,,,
140,0,0,single,,,
141,0,0,single,,,
142,0,0,single,,,
143,0,0,single,,,
144,0,0,single,,,
145,0,0,single,,,
146,0,0,single,,,
147,0,0,single,,,
