Title,悔_,,,,,,
Artist,Essbee,,,,,,
BPM,193,,,,,,
Offset,1.55,,,,,,
Difficulty,Insane,,,,,,
Level,14+,,,,,,
Mapper,visionalee,,,,,,
Illustrator,just demo,,,,,,
Description,just demo,,,,,,
Note Data,,,,OC/OH Multiplier,Time Signature,,
Beat,Lane,Circle,Note Type,BPM/Rev-Hold Value,Numerator,Denominator,HoldNote-Time
0,0,1,hide,,,,
6,0,0,overheat,0.5,,,
7,0,0,single,,,,
8,1,0,single,,,,
9,0,0,single,,,,
10,1,0,single,,,,
10.5,1,0,single,,,,
11.5,0,0,single,,,,
12.5,0,0,single,,,,
13.5,0,0,single,,,,
14,1,0,single,,,,
15,1,0,single,,,,
16,0,0,single,,,,
17,0,0,single,,,,
18,0,0,single,,,,
18.5,1,0,single,,,,
19.5,0,0,single,,,,
20.5,1,0,single,,,,
21.5,0,0,single,,,,
22,1,0,single,,,,
23,0,0,single,,,,
24,0,0,single,,,,
25,0,0,single,,,,
25.5,1,0,single,,,,
26,0,0,single,,,,
26.5,1,0,single,,,,
27.5,0,0,single,,,,
28.5,0,0,single,,,,
29.5,0,0,single,,,,
30,1,0,single,,,,
31,1,0,single,,,,
32,1,0,single,,,,
33,1,0,single,,,,
34,0,0,single,,,,
35,1,0,single,,,,
36.5,1,0,hold,,,,1
38,0,0,single,,,,
39,0,0,single,,,,
40,0,0,single,,,,
41,0,0,single,,,,
42,0,0,single,,,,
43,1,0,single,,,,
45,0,0,single,,,,
47,0,0,single,,,,
48.5,1,0,single,,,,
49.5,1,0,single,,,,
50.5,0,0,single,,,,
52,1,0,single,,,,
53,1,0,single,,,,
54,1,0,single,,,,
55,1,0,single,,,,
56,1,0,single,,,,
56.5,0,0,single,,,,
57.5,0,0,single,,,,
58,1,0,single,,,,
59,0,0,single,,,,
59.5,0,0,single,,,,
60.5,1,0,single,,,,
61,0,0,single,,,,
62,1,0,single,,,,
63,0,0,single,,,,
64,0,0,single,,,,
65,0,0,single,,,,
66,0,0,single,,,,
66.5,0,0,single,,,,
67,1,0,single,,,,
68,0,1,show,,,,
68,0,0,overclock,2,,,
68.5,0,0,single,,,,
69,1,0,single,,,,
69.25,1,0,single,,,,
69.5,0,0,single,,,,
69.75,0,0,single,,,,
70,0,0,single,,,,
70.25,1,0,single,,,,
70.5,1,0,single,,,,
70.75,0,0,single,,,,
71,1,0,single,,,,
72,1,1,single,,,,
72.5,0,1,single,,,,
73.5,1,1,single,,,,
74,0,0,hide,,,,
74,0,1,single,,,,
76,1,1,single,,,,
77,1,1,single,,,,
78,1,1,single,,,,
79,1,1,reverse,0,,,
82,1,1,single,,,,
83,1,1,single,,,,
84,0,1,single,,,,
85,1,1,single,,,,
86,0,1,single,,,,
87,1,1,single,,,,
88,0,1,single,,,,
88.5,1,1,single,,,,
89,1,1,single,,,,
89.5,0,1,single,,,,
90,0,1,single,,,,
91,0,1,single,,,,
92,0,1,single,,,,
93,1,1,single,,,,
94,1,1,single,,,,
94.5,1,1,single,,,,
96,0,1,single,,,,
97,1,1,single,,,,
98,0,1,single,,,,
99,0,1,single,,,,
100,1,1,single,,,,
101,0,1,single,,,,
101.5,1,1,single,,,,
102.5,0,1,single,,,,
104,0,1,single,,,,
105,1,1,single,,,,
106,0,1,single,,,,
107,0,1,single,,,,
108,0,1,single,,,,
109,0,1,single,,,,
109.5,0,1,single,,,,
110.5,0,1,single,,,,
112.5,0,1,single,,,,
113.5,0,1,single,,,,
114,1,1,single,,,,
114.5,1,1,single,,,,
115.5,0,1,single,,,,
116.5,0,1,single,,,,
117.5,1,1,single,,,,
118,1,1,single,,,,
119,0,1,single,,,,
120,1,1,single,,,,
120.5,1,1,single,,,,
121.5,1,1,single,,,,
122,1,1,single,,,,
123,1,1,single,,,,
123.5,0,1,single,,,,
124.5,0,1,single,,,,
125,0,0,show,,,,
125,0,1,single,,,,
126,0,1,single,,,,
127,1,1,single,,,,
128,0,1,single,,,,
129,1,1,single,,,,
130,0,1,single,,,,
130.5,0,1,single,,,,
130.75,1,1,single,,,,
131,1,1,single,,,,
132,1,0,single,,,,
132.5,0,0,single,,,,
133,0,0,single,,,,
133.25,1,0,single,,,,
133.5,0,0,single,,,,
133.75,0,0,single,,,,
134,0,0,single,,,,
134.25,0,0,single,,,,
134.5,1,0,single,,,,
134.75,1,0,single,,,,
135,1,1,hide,,,,
135,1,0,single,,,,
135.5,0,0,single,,,,
136,1,0,single,,,,
136.5,1,0,single,,,,
137,1,0,single,,,,
137.5,1,0,single,,,,
138,1,0,single,,,,
138.5,0,0,single,,,,
139,1,0,single,,,,
139.25,0,0,single,,,,
139.5,1,0,single,,,,
139.75,0,0,single,,,,
140,1,0,single,,,,
140.5,0,0,single,,,,
141,1,0,single,,,,
